1894790838 527762962 1625618943 370395365 2354330796 4033954836 988631517 1523748120 
4174121159 4015587364 1158400821 1092773058 2341607919 1309358075 2025208023 3103864595 
909662312 1209920907 1159546645 473211804 2340269639 685031506 1149112783 554775152 
4094235750 1414589173 293397277 2230152537 105977289 2237411729 1617478288 501669437 
1128784821 2653538175 3458555438 221777954 2714196191 2778939426 1968566187 4273125146 
4210386684 2185912031 3465698493 127915401 2633736147 814999557 1466964730 2415919463 
4136689602 103592517 4006651088 538340013 572179372 3618184359 2131081144 3631596065 
2999930237 1639093285 4065442865 1445283403 3060554686 2267743874 3578199313 1306128051 
535889298 3029377626 1721283261 2350898852 3406788487 3962898763 1530677740 1860605292 
2957057116 3828327194 1557889749 197072204 217736030 2948401951 955957277 516049662 
775226469 3445786614 1778867397 4137646079 3807465249 683229100 803652375 1443157279 
3145507311 1255220493 1617906535 4092903662 3788564245 1259687032 188443780 1796689502 
4280983146 4174825100 3472137170 3152817582 2382761045 2130530997 893064134 1105096503 
440563467 4142555604 3245332717 3582167635 4220225426 2439652438 1057178757 654458496 
10044178 3469380234 3668158266 466237796 1796430024 1987167111 4141370494 1153961816 
1857421081 1936935606 3389601281 945421427 2066724846 274276374 3852805522 52848034 
1587207242 2839660430 1857257949 1441661439 745156242 2284760257 1694362492 279472254 
657860287 706528252 516128399 2599688581 3276046428 3440134795 625373283 969475680 
344676925 3783902756 1071185961 1445582562 1117230080 2309058977 1341392812 4006700513 
4004832472 388759825 2617788690 4091868205 446482911 1725376450 4123849422 84853369 
389436852 1132667190 3154540072 1200794106 1438119080 1607511209 2831151812 1761290831 
4199825941 2111013504 3949413905 1719497569 438633055 3955564005 4036457926 1847161948 
4281152226 828719614 51561465 293471327 2194595472 3562966485 1051788117 30551459 
1590111563 1254355165 3163332214 1000600194 3164015093 2715673082 3643392853 1423065620 
3370783286 407086501 2359875097 1457512484 853170903 4038786962 1435768869 2158116318 
749467849 1684908568 2592064460 577124064 4219422849 1965242542 1034044253 875158346 
